Date,Value
2018-12-31,4474.3264942
2017-12-31,4379.86234973
2016-12-31,4367.98022078
2015-12-31,4354.82331002
2014-12-31,4223.17708117
2013-12-31,4128.50081807
2012-12-31,4120.29105393
2011-12-31,4008.03531106
2010-12-31,3976.88537906
2009-12-31,3897.81680476
2008-12-31,3998.65251242
2007-12-31,3956.55651076
2006-12-31,3965.22404108
2005-12-31,3931.40343399
2004-12-31,3898.15202184
2003-12-31,3713.09023336
2002-12-31,3554.70824503
2001-12-31,3597.5129051
2000-12-31,3597.39191712
1999-12-31,3448.30474868
1998-12-31,3528.31725082
1997-12-31,3441.3754098
1996-12-31,3366.29487745
1995-12-31,3278.89612576
1994-12-31,3234.69363529
1993-12-31,3190.35166718
1992-12-31,3194.76952337
1991-12-31,3149.14173274
1990-12-31,3157.8705362
1989-12-31,3098.55909091
1988-12-31,3061.59542386
1987-12-31,2936.10407947
1986-12-31,2929.34051262
1985-12-31,2791.46014026
1984-12-31,2816.12071333
1983-12-31,2762.00448828
1982-12-31,2797.72282741
1981-12-31,2912.94280721
1980-12-31,3091.09123929
1979-12-31,3237.56367784
1978-12-31,3106.1059361
1977-12-31,3078.13756375
1976-12-31,2974.26042174
1975-12-31,2737.5524121
1974-12-31,2882.17138396
1973-12-31,2875.76298045
1972-12-31,2635.42317573
1971-12-31,2493.61906285
1970-12-31,2358.88937227
1969-12-31,2144.47905185
1968-12-31,1992.26047306
1967-12-31,1826.17547564
1966-12-31,1702.21571659
1965-12-31,1567.58726831
